,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,TTS,GPSLat,GPSLon,GPSDate,GPSTime,TTF,Max_Tilt,datetime
122,1544560817,0.01312255859375,8.294983372435297,18399,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 20:40:17
123,1544562027,0.013427734375,8.22546673801412,18461,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 21:00:27
124,1544563237,0.0146484375,7.97315968823591,18688,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 21:20:37
125,1544564447,0.0146484375,7.747147298456923,18894,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 21:40:47
126,1544565657,0.01495361328125,7.514185221454397,19109,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-11 22:00:57
127,1544566867,0.01556396484375,7.524955442490864,19099,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 22:21:07
128,1544568385,0.01617431640625,7.0884770410226,19509,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 22:46:25
129,1544569595,0.0164794921875,7.357654992880271,19255,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 23:06:35
130,1544570805,0.0177001953125,7.420749798636564,19196,-3.1910778385085905,32767,8486,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 23:26:45
131,1544572015,0.0177001953125,7.502345266313284,19120,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 23:46:55
132,1544573225,0.01861572265625,7.404688179245795,19211,-3.1910778385085905,32767,8486,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-12 00:07:05
134,1544695888,0.025634765625,9.305016375607124,17524,-3.1910778385085905,32767,8487,71.2927397260274,-10.711297024,4,40,,,,,,,2018-12-13 10:11:28
135,1544697119,0.025634765625,9.473055184643442,17383,-3.1910778385085905,32767,8487,25.50876712328767,-10.711297024,5,40,,,,,,,2018-12-13 10:31:59
136,1544698360,0.025634765625,9.296713538957533,17531,-3.1910778385085905,32767,8487,25.043561643835616,-10.711297024,3,40,,,,,,,2018-12-13 10:52:40
137,1544699598,0.02593994140625,10.296729348864801,16710,-3.1910778385085905,32767,8487,80.3254794520548,-10.711297024,4,40,,,,,,,2018-12-13 11:13:18
138,1544701024,0.02532958984375,11.146674045146028,16046,-3.1910778385085905,32767,8487,116.86349315068493,-10.711297024,5,40,,,,,,,2018-12-13 11:37:04
139,1544702235,0.02532958984375,10.771985388830728,16335,-3.1910778385085905,32767,8487,76.39061643835616,-10.711297024,5,40,,,,,,,2018-12-13 11:57:15
140,1544703446,0.02532958984375,11.312409139402575,15920,-3.1910778385085905,32767,8487,92.65342465753425,-10.711297024,4,40,,,,,,,2018-12-13 12:17:26
