,YR,MO,DY,HR,LAT,LON,SLP,AT,SST,DCK,SID,PT,UID,RN1,RN2,RN3,RSA,IRF
45647,1946,2,12.0,,-61.8,315.0,,1.1,,899,15,,0NCWWW,3,1,0,2,1
45648,1946,2,12.0,,-62.0,32.1,980.0,,,899,15,,0NCWWU,3,1,0,2,1
45649,1946,2,12.0,,-64.0,27.7,994.9,,,899,15,,0NCWWY,3,1,0,2,1
45650,1946,2,12.0,,-64.2,26.0,992.9,2.8,,899,15,,0NCWWX,3,1,0,2,1
45651,1946,2,12.0,3.0,-61.2,317.0,993.2,-0.6,,204,91,5.0,0NCX1Y,3,1,0,2,1
45652,1946,2,12.0,15.0,-61.4,316.5,967.8,,,204,91,5.0,0NCXFO,3,1,0,2,1
45653,1946,2,12.0,23.0,-61.5,316.1,964.0,0.6,,204,91,5.0,0NCXPA,3,1,0,2,1
45654,1946,2,13.0,,-61.9,35.0,988.8,2.2,,899,15,,0NCXQ4,3,1,0,2,1
45655,1946,2,13.0,,-61.9,314.2,,-1.0,,899,15,,0NCXQ5,3,1,0,2,1
45656,1946,2,13.0,,-62.4,31.7,976.0,2.8,,899,15,,0NCXQ3,3,1,0,2,1
45657,1946,2,13.0,,-64.1,25.6,976.6,,,899,15,,0NCXQ6,3,1,0,2,1
45658,1946,2,13.0,,-64.1,26.7,981.4,0.6,,899,15,,0NCXQ7,3,1,0,2,1
45659,1946,2,13.0,3.0,-61.2,316.5,978.8,-0.6,,204,91,5.0,0NCXVJ,3,1,0,2,1
45660,1946,2,13.0,15.0,-61.5,315.8,968.4,-2.2,,204,91,5.0,0NCYA9,3,1,0,2,1
45661,1946,2,13.0,18.0,-62.0,301.6,,3.9,0.6,207,91,5.0,0NCYF4,3,1,0,2,1
45662,1946,2,13.0,23.0,-61.7,316.0,969.9,-2.8,,204,91,5.0,0NCYK8,3,1,0,2,1
45663,1946,2,14.0,,-61.8,315.3,,-1.6,,899,15,,0NCYL5,3,1,0,2,1
45664,1946,2,14.0,,-62.0,35.0,983.1,3.9,,899,15,,0NCYL4,3,1,0,2,1
45665,1946,2,14.0,,-62.4,31.7,975.0,5.0,,899,15,,0NCYL3,3,1,0,2,1
45666,1946,2,14.0,,-64.0,26.7,974.3,0.6,,899,15,,0NCYL6,3,1,0,2,1
45667,1946,2,14.0,,-64.2,28.4,974.6,1.1,,899,15,,0NCYL7,3,1,0,2,1
45668,1946,2,14.0,0.0,-62.0,301.5,,2.8,0.6,207,91,5.0,0NCYNE,3,1,0,2,1
45669,1946,2,14.0,3.0,-61.5,316.0,964.9,-1.7,,204,91,5.0,0NCYQI,3,1,0,2,1
45670,1946,2,14.0,15.0,-61.7,316.0,977.4,-0.6,,204,91,5.0,0NCZ5X,3,1,0,2,1
45671,1946,2,14.0,23.0,-61.7,316.8,979.4,-0.6,,204,91,5.0,0NCZGI,3,1,0,2,1
45672,1946,2,15.0,,-61.7,314.8,,2.2,,899,15,,0NCZHL,3,1,0,2,1
45673,1946,2,15.0,,-61.8,34.3,995.6,2.8,,899,15,,0NCZHK,3,1,0,2,1
45674,1946,2,15.0,,-62.0,31.8,984.0,,,899,15,,0NCZHJ,3,1,0,2,1
45675,1946,2,15.0,,-64.3,26.4,985.4,0.6,,899,15,,0NCZHM,3,1,0,2,1
45676,1946,2,15.0,,-64.3,29.1,988.2,,,899,15,,0NCZHN,3,1,0,2,1
45677,1946,2,15.0,3.0,-61.7,316.0,972.8,-2.8,,204,91,5.0,0NCZN9,3,1,0,2,1
45678,1946,2,15.0,15.0,-61.7,317.1,980.9,-0.6,-0.6,204,91,5.0,0ND014,3,1,0,2,1
45679,1946,2,15.0,23.0,-61.7,317.3,982.0,-1.1,-0.6,204,91,5.0,0ND0A9,3,1,0,2,1
45680,1946,2,16.0,,-61.6,315.2,961.7,0.6,,899,15,,0ND0B6,3,1,0,2,1
45681,1946,2,16.0,,-61.8,33.9,1000.4,,,899,15,,0ND0B5,3,1,0,2,1
45682,1946,2,16.0,,-62.2,31.1,990.0,2.2,,899,15,,0ND0B4,3,1,0,2,1
45683,1946,2,16.0,,-64.2,28.7,994.9,-1.0,,899,15,,0ND0B8,3,1,0,2,1
45684,1946,2,16.0,,-65.3,26.5,993.9,2.2,,899,15,,0ND0B7,3,1,0,2,1
45685,1946,2,16.0,3.0,-61.7,316.8,980.1,-1.1,,204,91,5.0,0ND0G3,3,1,0,2,1
45686,1946,2,16.0,12.0,-61.0,302.5,,4.4,2.2,207,91,5.0,0ND0QN,3,1,0,2,1
45687,1946,2,16.0,15.0,-61.7,317.8,987.5,-1.7,-1.1,204,91,5.0,0ND0T8,3,1,0,2,1
45688,1946,2,16.0,23.0,-61.9,317.8,990.3,-1.1,-1.1,204,91,5.0,0ND11T,3,1,0,2,1
45689,1946,2,17.0,,-61.6,315.4,969.5,0.6,,899,15,,0ND12P,3,1,0,2,1
45690,1946,2,17.0,,-61.8,33.9,994.2,2.2,,899,15,,0ND12O,3,1,0,2,1
45691,1946,2,17.0,,-62.5,30.5,986.0,1.1,,899,15,,0ND12N,3,1,0,2,1
45692,1946,2,17.0,,-64.1,28.8,993.9,2.8,,899,15,,0ND12R,3,1,0,2,1
45693,1946,2,17.0,,-67.4,26.5,991.5,-1.0,,899,15,,0ND12Q,3,1,0,2,1
45694,1946,2,17.0,3.0,-61.7,317.3,983.9,-1.7,-1.1,204,91,5.0,0ND17F,3,1,0,2,1
45695,1946,2,17.0,15.0,-61.7,317.5,995.5,-1.7,-1.1,204,91,5.0,0ND1JS,3,1,0,2,1
